Idioms,Meanings
unter einer Decke stecken,to be in cahoots
jemandem einen Denkzettel verpassen,to teach someone a lesson
auf gut Deutsch,putting it plainly
Lass doch!,Don't bother! Forget it!
Lass es doch!,Leave it!
wie vom Donner gerührt dastehen,to be thunderstruck
die Kirche im Dorf lassen,to not get carried away
auf Biegen oder Brechen,"by hook or crook, whatever it takes"
Das sind mir spanische Dörfer.,It's Greek to me.
Das sind mir böhmische Dörfer.,It's Greek to me.
"dort, wo sich die Füchse gute Nacht sagen",out in the middle of nowhere
auf Draht sein,to be on the ball (auf Zack sein)
einen guten Draht zu jemandem haben,to be on good terms with someone
Dreck am Stecken haben,to have a skeleton in the closet
den Karren in den Dreck fahren,to make a mess of things
Der Karren steckt im Dreck.,Things/they are really in a mess.
dümmer als die Polizei erlaubt,as dumb as it gets
jemanden für dumm verkaufen,to take someone for an idiot
sich dumm und dämlich reden,to talk until one is blue in the face
Gegen Dummheit gibt es keine Pillen.,There's no cure for stupidity.
Mach bloß keine Dummheiten!,Just don't do anything stupid!
Mit der Dummheit kämpfen Götter selbst vergebens.,Against stupidity the gods themselves struggle in vain.
durch dick und dünn gehen,to go through thick and thin
ehe man sich's versieht,before you know it
"Ehre, dem die Ehre gebührt.",Tribute to whom tribute is due.
"Ehre, wem Ehre gebührt",Give credit where credit is due.
Ehrlich währt am längsten.,Honesty is the best policy.
Der Ehrliche ist der Dumme.,The honest one is the fool.
eine ehrliche Haut,an honest soul/person
das Ei des Kolumbus,"just the thing, a simple solution to a seemingly difficult problem"
Das Ei will klüger als die Henne sein.,Don't think you're smarter than your elders.
ein Ei legen,"to hatch a plan, take a shit"
jemanden wie ein rohes Ei behandeln,to handle someone with kid gloves
Kümmere dich nicht um ungelegte Eier.,Don't cross your bridges before you come to them.
Das sind ungelegte Eier.,We'll cross that bridge when we come to it.
Eigenlob stinkt.,Don't toot your own horn.
Eile mit Weile.,Haste makes waste.
im Eimer,down the drain
Das hast du dir selbst eingebrockt.,You got yourself into this mess.
"Was man sich eingebrockt hat, muss man auch auslöffeln.",You have to dish out what you cooked up.
Eine Hand wäscht die andere.,One good turn deserves another.
Einem geschenkten Gaul schaut man nicht ins Maul.,Don't look a gift horse in the mouth.
einen Vogel haben,to be nuts
Bei dir piept's wohl!,You've got to be kidding!
Einmal ist keinmal.,Once doesn't count.
"Ein Mann, ein Wort.",A promise is a promise.
Die Einsamkeit ist die Schule der Weisheit.,Solitude is the school of wisdom.
"Eintracht nährt, Unfriede verzehrt.","United we stand, divided we fall."
Ein Unglück kommt selten allein.,It never rains but it pours.
Not bricht Eisen.,Necessity is the mother of invention.
"Das Eisen schmieden, so lange es heiß ist.",Strike while the iron is hot.
aus einer Mücke einen Elefanten machen,make a mountain out of a molehill
"Elster stiehlt, so gut sie schwatzt.",The magpie steals as well as it chatters.
Sie stiehlt wie eine Elster.,She is light-fingered.
"Ich habe die Elster vernommen, es werden Gäste kommen.",Company's coming.
"Ende gut, alles gut.",All's well that ends well.
Das dicke Ende kommt noch.,The worst is yet to come.
das Ende vom Lied,"when all is said and done, the bottom line"
Es hofft der Mensch so lang er lebt.,While there is life there is hope.
"Es ist nicht alles Gold, was glänzt.",All that glitters is not gold.
Es ist noch kein Meister vom Himmel gefallen.,You can't always expect to get it right the first time.
"Es wird nichts so heiß gegessen, wie es gekocht wird.",Nothing is ever as bad as it seems.
Das wird nicht so heiß gegessen wie gekocht.,It's not as bad as it seems.
nach Schema F,"formulaic, in the usual way, business as usual"
Fach betreut werden,to get expert service
ein Mann vom Fach,an expert
etwas unter Dach und Fach haben,to have something in the bag
sein Fach verstehen,to know one's stuff
nach Strich und Faden,in a good and proper manner
in Fahrt kommen,to really get going
eine Fährte verfolgen,to follow a lead
jemanden auf die richtige Fährte bringen,to put someone on the right track
Das ist nicht mein Fall.,That's not my cup of tea.
Farbe bedienen,to follow suit
Farbe bekennen,to come clean
auf eigene Faust,on one's own
Auf Fehlern wird man klug.,We learn from our mistakes.
fix und fertig sein,to be at the end of one's rope
ganz fertig sein,to be all in
ins Fettnäpfchen treten,to commit a faux pas
Gebranntes Kind scheut das Feuer.,"Once bitten, twice shy."
Das wird sich alles finden.,Everything will turn out alright.
Der Fisch stinkt vom Kopf her.,The problems start at the top.
weder Fisch noch Fleisch,neither fish nor fowl
Mach fix!,Be quick about it!
zwei Fliegen mit einem Schlag treffen,to kill two birds with one stone
Sie fielen um wie die Fliegen.,They dropped like flies.
wie Gott in Frankreich leben,to live very well
kalte Füße bekommen,to get cold feet
den Fuß auf den Mond setzen,to set foot on the moon
den Fuß in die Tür stellen,to get one's foot in the door
Fuß!,Heel! (dog)
Bei Fuß!,Heel! (dog)
Fuß fassen,"to gain a foothold, become established, settle down"
mit jemandem auf gutem Fuß stehen,to be on good terms with someone
jemanden auf freien Fuß setzen,to set someone free
weder Hand noch Fuß haben,to make no sense at all
wo der Kaiser zu Fuß hingeht,"restroom, bathroom, toilet"
zu Fuß,on foot
keinen Fußbreit weichen,to not budge
auf eigenen Füßen stehen,to stand on one's own two feet
etwas mit den Füßen treten,to treat something with contempt
jemanden mit den Füßen treten,to walk all over someone
sich jemandem zu Füßen werfen,to fall at someone's feet
aufs Ganze gehen,to go all out
Geld wie Heu haben,to have lot's of money
Geld zum Fenster hinauswerfen,to pour money down the drain
ein Gesicht schneiden,to make a face
Das ist Schnee von gestern.,That's old news.
nicht von gestern sein,to not be born yesterday
"Wie gewonnen, so zerronnen.","Easy come, easy go."
Darauf kannst du Gift nehmen.,You can bet on it.
jemanden aufs Glatteis führen,to take someone for a ride
Gleich und gleich gesellt sich gern.,Birds of a feather flock together.
aufs tote Gleis kommen,to come to a dead end
auf gut Glück,on the off chance
Glück im Unglück,good luck in misfortune
in Glück und Unglück,in good times and bad
"Was Gott zusammengefügt hat, soll der Mensch nicht scheiden.","What God has joined together, let no man put asunder."
ins Gras beißen,to bite the dust
aus dem Gröbsten heraus sein,see light at the end of the tunnel
der Groschen ist gefallen,"the penny dropped, the light came on, I get it now"
grottenschlecht,the worst of the worst
ins Grüne fahren,to go/drive to the country
ein Haar in der Suppe,something to complain about
Ich lasse mir keine grauen Haare darüber wachsen.,I'm not going to lose any sleep over it.
jemandem aufs Haar gleichen,be the spitting image of someone
Das ist an den Haaren herbeigezogen.,That's a bit far-fetched.
kein gutes Haar an jemandem/etwas lassen,to pick someone/something to pieces
Mir standen die Haare zu Berge.,My hair stood on end.
um ein Haar,by a hair
in den Haaren liegen,be at odds
Hahn im Korb sein,be one who dominates a group/situation
Danach kräht kein Hahn mehr.,No one gives a hoot about that anymore.
Die Sache hat einen Haken.,There's a catch.
Hals über Kopf,head over heels
etwas in den falschen Hals kriegen,to take something the wrong way
Das liegt auf der Hand.,That's obvious.
für etwas die Hand abhacken lassen,to stake one's life on something
sich mit Händen und Füßen gegen etwas wehren,to fight something tooth and nail
im Handumdrehen,in a flash
der Haussegen hängt schief,the marriage is in trouble
Ich möchte nicht in ihrer Haut stecken.,I wouldn't want to be in her shoes.
gedrängt wie die Sardinen,packed (in) like sardines
ein Herz und eine Seele sein,to be the best of friends
etwas auf dem Herzen haben,to have something on one's mind
jemandem fällt das Herz in die Hose,be scared to death
jemandem rutscht das Herz in die Hose,be scared to death
hinter den Kulissen,behind the scenes
hinter die Kulissen sehen,to look behind the scenes
Man kann nicht auf zwei Hochzeiten tanzen.,You can't be in two places at the same time.
Da bist du auf dem Holzweg.,You're barking up the wrong tree.
Das ist kein Honiglecken.,It's no bed of roses/picnic.
Bei ihm ist Hopfen und Malz verloren.,He's such a loser.
Das ist Jacke wie Hose.,It doesn't make a difference.
vor die Hunde gehen,to go with the dogs
Das ist gehupft wie gesprungen.,It doesn't make a difference.
Hüte deine Zunge!,Watch what you say!
Das geht auf keine Kuhhaut!,That's beyond belief! (negative)
Da kommt einem der Kaffee hoch.,It's enough to make you sick.
Dir haben sie wohl etwas in den Kaffee getan.,You've got to be joking/kidding.
Da wo selbst der Kaiser zu Fuß hingeht.,The bathroom
jemanden durch den Kakao ziehen,to make fun of sb.
Bei ihm rieselt schon der Kalk.,He's losing his marbles.
Das ist alles für die Katz.,That's for the birds.
ein Katzensprung,a stone's throw
Mir raucht der Kopf.,My head is spinning.
in die Kreuz und in die Quer,every which way
zu Kreuze kriechen,to eat humble pie
"Der Krug geht so lange zum Brunnen, bis er bricht.",One day you'll take it too far.
"Ich bin keine Kuh, die man melken kann.",I'm not made of money.
wie die Kuh vorm neuen Tor/vorm Berg dastehen,to be completely baffled
Das geht auf keine Kuhhaut.,That's absolutlely incredible.
Das ist eine brotlose Kunst.,There's no money in it.
Das ist keine Kunst.,It's like taking candy from a baby.
nach allen Regeln der Kunst,using every trick in the book
jemanden auf die Palme bringen,to drive someone up the wall
seine Pappenheimer kennen,to know something/someone very well/inside out
auf die Pauke hauen,to paint the town red
mit Pauken und Trompeten durchfallen,go down with flying colors
Pech haben,to have bad luck
Das hält ja kein Pferd aus.,That's more than flesh and blood can stand.
Sie kümmern sich keinen Pfifferling um ihre Kinder.,They don't give a damn about their kids.
Beim Bart des Propheten!,Honest to God!
Er hat das Pulver nicht gerade erfunden.,He's not the sharpest tool in the shed.
nicht wanken und nicht weichen,to not budge an inch
"Was du heute kannst besorgen, das verschiebe nicht auf morgen.",Don't put off until tomorrow what you can do today.
"Was ich nicht weiß, macht mich nicht heiß.",What you don't know won't hurt you.
Was ist schon dabei!,What of it!
"Was nicht ist, kann noch werden.",Your day will come.
"Was Hänschen nicht lernt, lernt Hans nimmermehr.",You can't teach an old dog new tricks.
"Was man wünscht, glaubt man gern.",People believe what they want to believe.
"Wer das Feuer scheut, muss kein Schmied werden.","If you can't stand the heat, stay out of the kitchen."
"Wer rastet, der rostet.",Use it or lose it.
