Idioms,Meanings
扑朔迷离,complicated and confusing;look both like a man and like a woman
奇耻大辱,outrageous shame and deep humiliation;a crying shame
迄今为止,so far;up to now;still (not)
歧路亡羊,go astray in a complex situation
杞人忧天,groundless fears (lit. man of Qǐ fears the sky falling)
七上八下,uneasiness;in a mess
齐心协力,to work with a common purpose;to make concerted efforts;to pull together;to work as one
岂有此理,how can this be so?;preposterous;ridiculous;absurd
恰到好处,it’s just perfect;it’s just right
千差万别,unlike any other;different
千方百计,a hundred plans;by every possible means (lit. thousand ways)
千钧一发,in imminent peril;extremely delicate situation;extremely critical moment
黔驴技穷,sb. who has exposed his limited ability;to exhaust one’s limited abilities
千丝万缕,countless ties;a thousand and one links;interrelated in innumerable ways
千言万语,having much to say;talking nonstop
潜移默化,imperceptible influence;to influence secretly
强词夺理,lame arguments;to argue illogically (lit. powerful words devoid of sense)
锲而不舍,to chip away at a task and not abandon it;to chisel away at sth;to persevere;unflagging efforts
青出于蓝,surpass the master (lit. green is born of blue;but beats blue)
轻而易举,easy;with no difficulty
秋高气爽,better weather;clear and refreshing autumn weather
全力以赴,do at all costs;make an all-out effort
热泪盈眶,eyes brimming with tears of excitement;extremely moved
人山人海,huge crowds of people
任重道远,a heavy load and a long road;fig. to bear heavy responsibilities through a long struggle
日新月异,to change very quickly;every day sees new developments
日益频繁,increasingly common
如火如荼,magnificent;daunting and vigorous momentum (lit. white cogon flower like fire)
如鱼得水,glad to be back in one’s proper surroundings (lit. like a fish back in water)
孺子可教,this child is teachable
三顾茅庐,repeatedly request sb. to take up a responsible post;earnestly seek the services of able and virtuous people
三心二意,half-hearted
山明水秀,picturesque
深情厚谊,profound friendship
事半功倍,more with less;half the work;twice the effect
事倍功半,twice the effort for half the result
十拿九稳,very likely to happen;success within reach;extremely certain
十全十美,to be completely perfect;flawless;to be perfect
实事求是,to seek truth from facts;to be practical and realistic
世外桃源,haven of peace;utopia
十之八九,most likely (lit. in eight or nine cases out of ten)
手足情深,brotherhood
熟能生巧,skill comes from practice;with familiarity you learn the trick
数一数二,one of the best;outstanding
水滴石穿,constant perseverance yields success (lit. dripping water penetrates the stone)
水土不服,unaccustomed to a place;not acclimatized
死灰复燃,resurgence;revival (lit. ashes burn once more)
四面楚歌,be besieged on all sides and without help (lit. on all sides;the songs of Chu)
似是而非,appeared right but actually was wrong
四通八达,extend in all directions;connected to all parts of the world
肆无忌惮,absolutely unrestrained;unbridled;without the slightest scruple
私心窃喜,secretly happy 私心=selfish and self-indulgent;窃= surreptitiously;喜=happy;celebratory
叹为观止,acclaim sth. as the acme of perfection;to gasp in amazement
谈笑自若,go on talking and laughing as if nothing had happened;be cheerful and composed (in face of danger)
螳螂捕蝉,be unaware of impending danger;to pursue a narrow gain while neglecting a greater danger
讨价还价,bargain;haggle over a price
滔滔不绝,unceasing torrent;talking non-stop;gabbling forty to the dozen
天伦之乐,pleasure of heavenly agreement;family love and joy;domestic bliss
田园之乐,heavenly happiness
统筹兼顾,an overall plan taking into account all factors
同舟共济,to get through a time of difficulty by settle one’s difference and working together
投笔从戎,renounce the pen for the sword;join the military service (esp. of educated person)
土头土脑,rustic;uncouth;countrified
拖泥带水,messy;sloppy;slovenly (lit. wading in mud and water)
完璧归赵,return sth. to the owner in good condition (lit. to return the jade annulus to Zhao)
万事如意,good luck;best wishes;all the best
望尘莫及,to be far too inferior (lit. to see only the other rider’s dust and have no hope of catching up)
望梅止渴,to console oneself with illusions;feed on fancies (lit. to quench one’s thirst by thinking of plums)
亡羊补牢,better late than never;to remedy the situation (lit. to mend the pen after sheep are lost)
微不足道,negligible;insignificant
微乎其微,very little;next to nothing
为虎作伥,to help a villain do evil;(lit. to act as accomplice to the tiger)
闻鸡起舞,be roused into action
卧薪尝胆,inure oneself for future trials
无动于衷,aloof;indifferent;unconcerned
无价之宝,an object that is priceless or an asset (can also refer to abstract things)
无精打采,dispirited and downcast;listless;in low spirits;washed out
无可奉告,“no comment”
无可奈何,have no way out;have no alternative
无理取闹,to make trouble without reason;deliberately awkward;pointless provocation;willful trouble maker
物美价廉,cheap and fine;attractive in price and quality
无能为力,impotent;powerless;helpless
无穷无尽,vast and limitless;endless span of time;no vestige of a beginning;no prospect of an end
无微不至,in every possible way;meticulous
无忧无虑,carefree and without worries
喜气洋洋,jubilant
喜闻乐见,a delight to see;an attractive spectacle
下不为例,never again;just this once;not to be repeated
显而易见,clearly and easy to see;obviously
先见之明,foresight
想方设法,to think up every possible method;to devise ways and means;to try this;that and the other
相辅相成,to complement one another
小心翼翼,cautious and solemn;very carefully;prudent;gently and cautiously
心不在焉,absent-minded
新陈代谢,the new replaces the old (metabolism in biology)
信口开河,empty promises;to talk off the cuff
心口如一,to be frank and unreserved;honest and straightforward (lit. heart and mouth as one)
欣欣向荣,luxuriant growth;flourishing;thriving
心直口快,frank and outspoken;to say what one thinks
兴高采烈,happy and excited;in high spirits;in great delight
兴致勃勃,to become exhilarated;in high spirits;full of zest
悬崖峭壁,sheer cliffs and precipitous rock faces
雪上加霜,to add hail to snow;one disaster on top of another;to make things worse in a bad situation
雪中送炭,timely assistance (lit. to send coal during snow)
循序渐进,in sequence;step by step;to make steady progress incrementally
言行一致,practice what they preach
养儿防老,(of parents) to bring up children for the purpose of being looked after in old age
咬牙切齿,gnashing one’s teeth;displaying extreme anger;fuming with rage between gritted teeth
义不容辞,be duty bound
一帆风顺,smooth sailing (lit. single sail;gentle wind)
一见钟情,to fall in love at first sight
衣锦还乡,to return in glory (lit. to come back to one’s hometown in silken robes)
一举两得,kill two birds with one stone (lit. one stone kills two birds)
一鸣惊人,become an overnight success
一目了然,obvious at a glance
一曝十寒,not persistent;sporadic effort;lack of sticking power;short attention span
易如反掌,very easy;no effort at all (lit. easy as a hand’s turn)
一如既往,just as in the past;as before;continuing as always
以身作则,lead by example
一视同仁,equal treatment;not to discriminate between people
一丝不苟,not one thread loose;strictly according to the rules;meticulous;not one hair out of place
一枝独秀,to outshine others
因人而异,to vary with each individual;to differ from person to person
饮水思源,be grateful for all your blessings! (lit. when you drink water;think of its source)
因小失大,missing the big picture;to save a little only to lose a lot
引以为耻,to regard it as a disgrace;to consider it shameful
有利可图,profitable;economic
优胜劣汰,survival of the fittest
有条不紊,regular and thorough;methodically arranged
愚不可及,couldn’t be more foolish;be hopelessly stupid
羽毛丰满,adjective become full-fledged;mature
与日俱增,to increase steadily;to grow with each passing day
再接再厉,to continue the struggle;to persist;unremitting efforts
斩钉截铁,to chop the nail and slice the iron;resolute and decisive;unhesitating;definitely;without any doubt
张口结舌,speechless (lit. agape and tongue-tied)
朝气蓬勃,full of youthful energy;vigorous;energetic;a bright spark
珍禽异兽,rare birds and animals
争先恐后,striving to be first and fearing to be last;outdoing one another
志同道合,like-minded;fellow enthusiast
知足常乐,satisfied with what one has
众所周知,as everyone knows
追踪而去,chasing closely (after someone)
自力更生,regeneration through one’s own effort;self-reliance
自食其果,suffer the consequences of one’s own doing;to reap what one sows (lit. to eat one’s own fruit)
自相矛盾,contradict oneself;self-contradictory;inconsistent
自由自在,free;carefree;leisurely
自圆其说,to make one’s statement valid;to justify oneself
总而言之,in short;in a word;in brief;all in all
走马看花,to make a quick judgment based on inadequate information (lit. flower viewing from horseback)
