Idioms,Meanings
a todo dar,"with full speed, far out, fabulous, great"
a toda máquina,"quickly, fast (lit.: at all machine)"
a toda prisa,"with all speed, hastily, quickly (lit.: at all haste)"
a todas luces,by any reckoning
a todo correr,"with all speed, hastily, quickly (lit.: at full running (run))"
a toro pasado,in retrospect; in hindsight (lit.: by the bull gone past)
a trabajar,to work (n.b.: said when encouraging yourself or others to start working)
a tráves de,through
a veces,sometimes; at times
a ver,now then; let's see; hm-m
a verga,by hook or by crook
a(l) fin de cuentas,when all’s said and done; when it comes down to it (lit.: at (the) end of accounts)
ahora mismo,right now; this minute
al azar,at random; randomly (lit.: to chance)
al cabo de,"after, since (lit.: at the finish of)"
al fin y al cabo,in the end; ultimately (lit.: at (the) end and at (the) finish)
al final,"in the end, finally (lit.: at (the) end)"
al menos,"at least, at a minimum (lit.: at the least)"
al oro,good; well done (used in Venezuela)
al parecer,apparently; apparent; by appearances
al pelo,just what is wanted or needed
al poco rato,after a little while
al rape,closely-cropped; close cut (lit.: to the monkfish)
al revés,backwards; the other way around; the opposite
alcornoque,blockhead; dunderhead; nincompoop (lit.: cork oak)
almas gemelas,soulmates (lit.: twin souls)
andar a palos,be fighting or squabbling all the time
andar como burro sin mecate,be wild; be out of control (lit.: to walk like a donkey wihout a leash)
"año nuevo, vida nueva","Happy New Year (lit.: new year, new life; used as a greeting or statement around Jan. 1)"
apalear oro,be rolling in dough; be made of money
apretarse el cinturón,tighten one's belt; economize
armar un jaleo,"make a fuss, commotion (lit.: to arm or raise a fuss)"
armar una bronca,kick up a fuss
armarse la gorda,cause a ruckus; have all hell break loose (lit.: to arm oneself the fat one)
armarse un lio,raise hell; make a fuss (lit.: to arm or raise a fight)
arrimar el ascua a su sardina,put one’s own interests first; work things to one’s advantage (lit.: to bring coals or embers to one’s sardine)
así que,"so that, which means that (lit.: thus that)"
atar corto a alg,keep someone on a short leash; keep someone under tight rein (lit.: tie someone close)
ausente sin culpa ni presente sin disculpa,the absentee is always in the wrong (lit.: absent without blame and no present without excuses)
Ave María Purísima,"for heaven’s sake (lit.: hail most pure Mary; n.b.: used in religious services, and as an exclamation)"
bar de ligar,singles' bar; pickup joint (used in Spain)
bicho raro,oddball (lit.: rare bug)
brillar por su ausencia,be conspicuous by one’s absence
buscar bronca,be spoiling for a fight; be looking for a fight
cada hijo de vecino,"every Tom, Dick, and Harry; everyone"
cada muerte de obispo,once in a blue moon; very rarely (lit.: each time a bishop dies)
caer en la cuenta,realize
caer mal,dislike; not like. 1. Me cae mal este tipo.
caerle bien a alguien,look good; feel good; seem pleasant (lit.: to fall well to someone)
caérsele a alg la baba con/por algo,drool over someone or something; dote on someone; be crazy about someone or something (lit.: to left fall slobber over someone or something)
caérsele los anillos a algn,be beneath one; be beneath one’s dignity (lit.: to have one’s rings fall off)
cambiar de idea,change one’s mind (lit.: to change idea)
cambiar de tema,change a/the subject
camino de,"along the way, on the way (lit.: road/path of)"
canta a pelo,sing unaccompanied
carne de gallina,gooseflesh
cerrar algo a cal y canto,"shut something tight, firmly, securely"
chiflar el moño a algn,be nuts; be crazy
cielos,"heavens; oh my gosh (lit.: heavens; n.b.: used when surprised, often in place of something vulgar)"
cien por cien,100%; with certainty; precisely (lit.: one-hundred by one-hundred)
claro que sí,of course; yes; indeed
cocerse en un propia salsa,stew in one's (own) juice
coger el toro por los cuernos,grab the bull by the horns (n.b.: coger is used only in Spain)
comer a deshora,eat at odd times
como agua para chocolate,furious; enraged (lit.: like water for chocolate)
como de costumbre,as usual (lit.: as of custom)
como Dios manda,the way it's supposed to be
como perro en barrio ajeno,out of place; in the wrong neighborhood (lit.: like a dog in a distant neighborhood; i.e.: people who try to enter other parts of society may be attacked or ostracized)
como quitarle un pelo al gato,a victimless crime (lit.: like removing a hair from a cat; i.e.: the quantity in question is so small that it has no significant effect and goes unnoticed)
como si no fuera poco,as if it were not enough
como siempre,as usual; as always
como un oro,like new (lit.: like a gold [coin])
como un perro,like a dog; like scum; in the gutter (lit.: like a dog)
como una balsa de aceite,smoothly; swimmingly; peacefully (lit.: like a pool of oil)
como una rosa,fresh as a daisy; soft as silk (lit.: like a rose)
con anticipación,in advance; ahead of time
con apuros,with difficulty
con pelos y señales,in minute detail; precisely
con permiso,with (your) permission
con seguridad,surely; certainly; absolutely
con toda la barba,real; the real deal; honest to goodness; true (lit.: with all the beard)
con todo respeto,"with all due respect. 1. Con todo respeto, no me parece tan importante."
consultarlo con la almohada,sleep on it (lit.: consult about something with the pillow)
contar con,count on
correr la bola,spread the word; put out the word
cortar el bacalao,call the shots (lit.: to cut the codfish; n.b.: Spain usage)
cortar las alas a alg.,clip someone’s wings; nip something in the bud (lit.: cut the wings of someone or something)
cortar un pelo en el aire,be smart
corto de luces,dim; dull; stupid
cuando pueda,when you can; when you have a moment
cuanto antes,as soon as possible (lit.: as much before)
cuatro gatos,a handful of people; half a dozen people; a small group of people (lit.: four cats)
dar a algn para el pelo,be the living daylights out of someone; wipe the floor with someone
dar a entender,let someone know
dar a la luz,give birth (lit.: to give to the light)
dar la bienvenida,welcome (lit.: to give the welcome)
dar la lata,be a nuisance; annoy (lit.: to give the tin)
dar lástima,make someone sad (to) (lit.: to give pain/sadness)
dar luz verde,give a green light to; permit; allow; clear
dar muerte a,kill someone
dar nacimiento a,give rise to
dar palo,hate; dislike; be unfortunate
dar permiso,permit; allow; give permission
dar risa,make one laugh; make one smile
dar un paseo a caballo,go horseback riding; ride a horse
dar un patatús a alguien,make someone have a fit (lit.: to give someone a fit)
dar un salto,jump; give a start; start (lit.: to give a jump)
dar un vergajo,screw; fuck; have sex with; shag
dar una de cal y otra de arena,use a carrot-and-stick policy
dar una fiesta,give a party
dar una vuelta,go for a ride
dar vida a,portray; play (i.e.: an actor playing a role)
darle a alguien mala espina,make someone feel uneasy (lit.: to give bad thorns to someone)
darse cuenta de,be aware; realize (lit.: to give oneself account of). 1. ¿Te has dado cuenta de que en el supermercado tenemos hasta nueve tipos diferentes de papel higiénico para elegir?
darse por vencido,give up; give in (lit.: to give oneself as defeated)
darse prisa,hurry; rush; do (something) fast (lit.: to give one urgency)
de abrigo,"a handful; someone to watch out for (lit.: coat, overcoat)"
de ahí en adelante,from now on; from here onward (lit.: from here in forward)
de ahora en adelante,from now on; henceforth; from this moment forward (lit.: from now in advance)
de armas tomar,formidable; tough; redoubtable (lit.: for taking up arms)
de buena gana,willingly; with ease; with pleasure (lit.: of good desire)
de buenas a primeras,suddenly; without warning
de cal y canto,strong; firm
de costumbre,as usual; normally
de cuando en cuando,from time to time; sometimes; once in a while (lit.:  of when in when)
de diario,everyday
de golpe,suddenly; abruptly; at once; all at once (lit.: of a blow or strike)
de hecho,"in fact, in reality (lit.: of fact). 1. De hecho, qiuero ir contigo."
de inmediato,"right now, immediately (lit.: from immediately)"
de medio pelo,second-rate
de miedo,fantastic(ally); wonderful(ly); brilliant(ly) (used in Spain)
de moda,in fashion; in style
de modo que,so; so that
de mucho cuidado,big; terrible; real (used adverbially)
de nada,not at all; you’re welcome; don’t mention it (n.b.: often said in response to “gracías”)
de nuevo,again; once again; anew (lit.: of new)
de oro,great; good; very good; wonderful. 1. Ella tiene una voz de oro.
de par en par,wide open (lit.: from rafter to rafter)
de pelo en pecho,manly; masculine
de perlas,just what someone needs; just right; go/fit perfectly (lit.: of pearls)
de perros,foul; horrible; dirty
de pocas luces,dim; dull; stupid
de pronto,suddenly; at once; all at once (lit.: of soon)
de repente,"abruptly, suddenly (lit.: of soon)"
"de tal palo, tal astilla","like father, like son (lit.: of such a broom, such a splinter)"
de todas maneras,in any case; anyway
de todos modos,anyway; at any rate (lit.: to the monkfish)
de un modo u otro,one way or another
de un momento a otro,at any moment
de una vez,now
de veras,"really, truly (lit.: of fact, truth)"
de vez en cuando,sometimes; now and then (lit.: from once in when)
decir amén a todo,say yes to everything; agree to everything (lit.: to say amen to everything)
decir en broma,kid; joke; tease (lit.: to say (as a) joke)
dejar a alg en las astas del toro,leave someone high and dry; leave someone in the lurch (lit.: to leave someone on the horns of the bull)
dejar de lado,set aside; put aside (lit.: to leave from (the) side)
dejar en paz,leave alone; leave be; let it be (lit.: to leave in peace)
desde hacía rato,for some time
desde luego,of course; certainly (lit.: after then/later)
día a día,"day after day.  1. La economía real, la que cada uno de nosotros maneja día a día es otra cosa."
di que sí,go for it (lit.: say yes)
dormir el vino,sleep off a hangover
dormir juntos,sleep together (n.b.: in the sexual sense)
echar agua al vino,water down
echar ajos y cebollas,swear; curse; rant and rave (lit.: throw garlic and onions)
echar de menos,"miss; feel the absence of (lit.: to throw less). 1. Puedes pasar una temporada en un país extranjero sin echar de menos tu comida, tu ropa o tú café favorito."
echar el pelo,waste time (used in Cono del Sur)
echar el toro a algn,scold somebody severely (lit.: throw the bull to somebody)
echar mano a,lay hands on; get one's hands on
echar mano de,make use of; resort to
echar por el atajo,take the easy way out (lit.: throw for the shortcut)
echar un mano,help; assist (lit.: to throw less)
echar un ojo a,have one’s eye on; covet (lit.: to throw an eye at)
echar un vistazo,look around; glance; take a look (lit.: to throw less)
echar una bronca,hit hard; come down on
echar una furia,throw a fit
echar una mano a algn,let someone a hand; give someone a hand; help someone (lit.: throw a hand to someone)
echarle los perros a algn,come down hard on someone (lit.: throw dogs at someone)
echarlo todo a rodar,mess it all up; make a mess of everything
echarse un novio/-a,get a boy/girlfriend (used in Spain)
"el cuatro es nota, el resto es lugo","four is passing, anything else is a luxury (used in Argentina)"
el pensamiento no tiene/conoce barreras,you can think whatever you like (lit.: thought does not have/know barriers)
"el que se pica, ajos come","if the shoe fits, wear it"
el último grito,the latest thing (lit.: the latest cry)
en absoluto,"at all; (not) at all (usually used with a negative verb). 1. No, en absoluto."
en adelante,from now on
en bolas,naked; nude; in the buff (Spain usage; lit: in balls)
en bolas,in a group; together (Mexican usage; lit.: in balls)
en cambio,on the other hand
en carne viva,in the flesh (lit.: in living meat)
en carne viva,raw; full; complete
en carne y hueso,in the flesh
en caso de,in case of; in case
en cuanto a,"as for; when it comes to (lit.: in how much to). 1. En cuanto a la comida, todo lo que preparan es riquísimo."
en cuerpo y alma,body and soul
en definitiva,in short; in brief
en el acto,in the act; red-handed
en el medio de la nada,in the middle of nowhere (lit.: in the middle of (the) nothing)
en fin,in short; in brief
en lo más mínimo,in the least bit
en lugar de,"insted of, in place of (lit.: in place of)"
en manos de,in the hands of
en pie de,on the verge of (lit.: at (the) foot of)
en pos de,in pursuit of; after
en realidad,actually; really; in reality
en resumen,in sum; in brief; briefly
en seguida,right away; at once; immediately
en serio,"really, truly, seriously (lit.: in serious)"
en todo caso,in any case; in any event; anyway
en tu/su lugar,in your/his/her place (lit.: in your/his/her place)
en un abrir y cerrar de ojos,very quickly; in a flash; in the blink of an eye (lit.: in the opening and closing of eyes.
en un decir amén,in a flash; in a jiffy; in next to no time (lit.: in the saying of amen)
en vez de,instead of (lit.: in time of)
entrar a hurtadillas,sneak in
entrar a saco,burst in; storm in (lit.: to enter at sack)
entrar bien,go down well
entrar de maravilla,go down well
entre algodones,be pampered; be coddled (lit.: between cotton)
entre bromas y veras,half-joking(ly); half-serious(ly) (lit.: between jokes and truths)
entre manos,on hand; at hand; immediately available
es la salsa de la vida,it's the spice of life
estallar en vivas,burst into applause (lit.: to burst into lives)
estar a cargo,be in charge
estar a dieta,be on a diet (lit.: to be at diet)
estar a disgusto,be unhappy; be displeased
estar a la miseria,be in a bad way; be in a bad state
estar a salvo,be safe; be secure (lit.: to be at saved)
estar a tope,be very busy
estar abocado al frasco,be doomed to failure
estar al loro,be on the alert; know the score (lit.: be at the parrot)
estar al palo,have an erection; be hard
estar al tanto,be abreast; be up to date (lit.: to be at the such)
estar como agua para chocolate,"be at the boiling point (lit.: like water for chocolate. Indicates a boiling point of anger or passion. Note that this phrase was used as the title for a movie, translated into English as “Like Water for Chocolate.”)"
estar como el burro del aguador; cargado de agua y muerto de sed,not to see what's right before one's eyes (lit.: be like the watercarrier's donkey; laden with water and dying of thirst; n.b.: a Mexican expression)
estar como las propias rosas,feel entirely at ease
estar como tres en un zapato,be packed like sardines; be crammed in (lit.: be like three in one shoe)
estar con el agua al cuello,be up to one’s neck in problems; be over a barrel (lit.: be with water at one’s collar)
estar con el agua al cuello,be up to one's neck in something (lit.: have water up to one's neck; n.b.: a Mexican saying)
estar conforme,be satisfied
estar curtido en,"be expert at; be skilled at (lit.: be tanned, hardened in)"
estar de bromas,be in a jokeing mood (lit.: to be for jokes)
estar de buenas,be in a good mood
estar de juerga,go out on the town; party; go clubbing
estar de la cabeza,be nuts; be insane
estar de oferta,be on sale; be discounted
estar de Rodrígues,be left on one's own (lit.: be Rodrigues; used in Spain)
estar de siesta,be on break; be on siesta
estar de viaje,be on vacation; be away (on vacation)
estar de vuelta,be back; have returned. 1. Ya estamos de vuelta.
estar del tomate,be nuts; be insane (n.b.: not used much anymore)
estar en ascuas,be on pins and needles; be on tenerhooks (lit.: to be on coals)
estar en Babia,have one’s head in the clouds (lit.: to be in Babia)
estar en camino,be on the way; be coming
estar en el ajo,be involved in; be mixed up in; be in the know (lit.: to be in the garlic)
estar en el orno,be in a tight spot; be very anxious (used in Argentina)
estar en juego,be in play; be up for grabs (lit.: to be in play)
estar en juego,be at stake (lit.: to be in play)
estar en la buena,be in a good mood; be in luck (used in the Andes region)
estar en la luna,be on cloud nine; be out to lunch (lit.: to be on the moon)
estar en la miseria,be broke; be poor (used in Spain)
estar en su salsa,be in one's element
estar harto de,be fed up with; have had it with (lit.: to be exhausted). 1. Estoy harto de esto.
estar hasta el gorro,be fed up; have had it (used in Spain)
estar hasta el moño,be fed up; have had it (used in Spain)
estar hasta la coronilla,be fed up; have had it
estar hasta las narices,be fed up; have had it (used in Spain)
estar hasta los cojones,be fed up; have had it (vulgar)
estar hecho un palo,be as skinny as a rake; be very thin
estar hecho una flauta,be thin as a rake (lit.: be like a flute)
estar loco por algo,be crazy for something; be nuts about something
estar mal de dinero,be hard up; have money problems
estar mal de la azotea,be off one’s rocker; be nuts; be crazy (lit.: to be bad in the roof)
estar para el arrastre,be done in; be dead on one’s feet; have had it (lit.: to be for dragging)
estar pedo,be sloshed; be drunk; be pissed; be high
estar que arde,be fuming; be hopping mad; be seething (lit.: to be that which burns)
estar seguro (de que),be sure; be certain (lit.: to be sure)
estar sin animo,be down; be in low spirits
estar sin pasta,be broke; be poor
estar sin plata,be broke; be poor
estar sin un duro,be broke; be poor (used in Spain)
esto es el colmo,that’s the last straw
felices sueños,sweet dreams (lit.: happy dreams)
florecer como rosa en mayo,blossom; flourish; bloom
fuera de control,out of control. 1. Nuestra casa está fuera de control.
fuera de duda,certain; without doubt (lit.: outside of doubt)
fuera de modo,out of style; out of fashion
fulano de tal,somebody or other
"fulano, zutano y mengano","Tom, Dick, and Harry; everybody"
ganarse de mano,beat someone to something (lit.: to win for oneself of/from a hand)
gastar una broma a algn,play a joke on; have fun at someone's expense
haberse de sentar,hit the spot; agree with (someone)
hablar de,talk about
hablar de bueyes perdidos,waste one's breath; chat about little things (n.b.: used in Cono del Sur)
hacer alharacas,make a fuss; make a big deal about (lit.: to make a fuss)
hacer caso,pay attention to (lit.: to make a case)
hacer chapuzas,do odd jobs; do occasional work
hacer compras,shop; do (the) shopping (lit.: to make/do purchases)
hacer coro a algn,back someone up
hacer del cuerpo,defecate; move one's bowels (n.b.: euphemism)
hacer el amor con,make love with someone
hacer el favor,"do a favor (lit.: to do the favor. Note that this can, as in English, be used to give someone a command or order)"
hacer el sol,the sun rises (lit.: to make the sun)
hacer falta,be necessary; must (lit.: to do the lack)
hacer fiaca,sleep in; stay home for the peace and quiet (used in Argentina)
hacer frente,confront (lit.: to do the front)
hacer la barba a alg,suck up to someone; butter someone up (lit.: to do the beard to someone)
hacer la compra,do the shopping; buy groceries
hacer la cusqui,bug; annoy; irritate
hacer la vista gorda,"ignore; overlook (lit.: to do the fat look. The idea here being of indulgence, the way a parent or grandparent might look at a misbehaving child)"
hacer las compras,do the shopping
hacer las maletas,pack; pack a suitcase (lit.: to do the suitcases)
hacer las paces,make up; make peace (lit.: to make the peace(s))
hacer pucheros,pout; screw up one's face
hacer su agosto,make a killing; make serious coin; hit the jackpot (lit.: to make/do one’s August)
hacer toros,cut class; skip class (lit.: to the bulls)
hacer trampa(s),cheat (lit.: to do traps)
hacer un papel,play a role; play a part
hacer un papelón,make a fool of oneself; embarras oneself (lit.: to make a large role)
hacer un simpa,leave a restaurant without paying
hacer un toro,stand in for somebody (in a theatrical production) (lit.: to do the bull)
hacerle frente a alguien,face someone (lit.: to make facing to someone)
hacer a pelo y pluma,be AC/DC
hacerse cargo de,take charge of; pay for; realize
hacerse ilusiones,get one's hopes up
hasta donde,as far as (lit.: up to when)
hecho una hiena,furious; enraged
hija de papá,rich kid; rich girl
hijo de papá,rich kid; rich boy
hoy mismo,today. 1. Hazlo hoy mismo.
ir a golpe de alpargata,walk; hoof it; go on foot (lit.: go by slapping sandals)
ir a medias,go Dutch; go fifty-fifty (used in Spain)
ir a pelo,be naked
ir de compras,go shopping
ir de juerga,go out on the town; party; go clubbing
ir de marcha,go out partying
ir de tiendas,go shopping (used in Spain)
irse a la cabeza del toro,grab the bull by the horns
irse al otro barrio,kick the bucket (lit.: to go to another neighborhood)
justo a tiempo,just in time
la gran flauta,my God! (used to express surprise or disbelief)
ladrar a la luna,waste one’s breath; talk to a brick wall (lit.: to bark at the moon)
llegar a deshora,show up unexpectedly
llegar a tiempo,arrive on time; be on time
llegar a un acuerdo,come to an agreement; reach an agreement
llegar tarde,arrive late; be late
llevar a alguien en andas,carry someone on one’s shoulders (lit.: to carry someone on a portable platform. An “andas” literally refers to a portable platform)
llevar a cabo,carry out; pull off; make happen (lit.: to carry to end). 1. Tendremos una reuníon esta tarde para discutir el tipo de sociedad que formaríamos en el caso de que
decidamos llevarlo a cabo.,llevar juntos
be together; be involved; be a couple,llevarse bien
get along well,llevarse de miedo
get along famously; get along really well,lo antes possible
as soon as possible,los de arriba
the people on top; the upper crust (lit.: those above),los pros y las contras
the pros and the cons,lotería
bingo; got it (n.b.: said when finding something or experiencing a stroke of good luck),maldita sea
damn it; darn it (lit.: may it be damned),mandar a paseo
tell someone to take a hike,mande
"what; please; how's that (used in Mexico as we in English say ""what"" when we want someone to repeat or clarify something)",mantener a raya
keep someone at bay; keep someone away,mantenerse en su sitio
stick to one's guns; stand one's ground (lit.: maintain oneself in one's position),mantenerse en sus trece
stick to one's guns; stand one's ground (lit.: maintain oneself in one's thirteen),mas o menos
more or less; roughly; approximately (lit.: more or less),más tieso que un palo
straight; upright; bolt upright,mayor de edad
of age,media naranja
"better half; spouse, wife, partner (lit.: half of an orange)",media pila
minimal effort; some effort; enough effort to accomplish something but no more (lit.: half a battery),menor de edad
underage,menos mal
"just as well, good thing, thank goodness (lit.: less bad)",meter en líos
get into trouble (lit.: to put into trouble),meter palos en las ruedas
throw a (monkey) wrench in the works; throw a spanner in the works,meter(se) la pata
get involved; become a part of (lit.: to put in the leg (animal’s paw)),metete un pelo en el culo
stick it up your ass,mi/tu abuela
my foot (lit.: grandmother),mientras tanto
"meanwhile, in the meantime (lit.: to the monkfish)",mirar de reojo
look at out of the corner of the eye,mirar por encima
glance at; look quickly through,momento
wait; wait a second; wait a moment (used when asking someone to wait briefly),montar a pelo
ride bareback,montar un negocio
set up a business; start a business (used in Spain),morirse de risa
die laughing,mostrar tino
"show good sense; be right (lit.: to show sound judgment, good sense)",nada del otro mundo
nothing special,nadar en la abundancia
be rolling in dough; be made of money (lit.: to swim in abundance),necesitar como agua de mayo
absolutely need something; really need something; must have something,ni a palos
no way; not on your life,ni en broma
no way; not on your life (lit.: not even as a joke),ni pizca de
not even a shred of (lit.: not even a pinch of),ni rastro
no sign; no hint (of something),no abrir la bolsa
be tight with money;,no caber ni un alfiler
be completely packed; be jammed; be stuffed (lit.: no even fit in a pin),no caérsele los anillos a algn
not to be beneath one; not be beneath one’s dignity (lit.: to not have one’s rings fall off),no dar ni golpe
do nothing; not do anything; be idle,no es cosa mía
it’s not my business; it’s not my affair,no estar para bromas
be in no mood for jokes (lit.: not to be for jokes),no importar un ardite
"could not care less; not give a hoot/damn (lit.: not be worth an “ardite,” an old coin of little value)",no llevar nada encima
not have any money with,no necesitar abuela
be full of oneself; blow one’s own horn (lit.: not to have a grandmother),no pararse en barras
stop at nothing (lit.: not to stop at the bars [laws]),no pasa nada
no problem; not big deal,no poder con su alma
be exhausted; be fed up; be unable to take it anymore (lit.: not to be able with one’s soul),no se oía ni una mosca
you could have heard a pin drop (lit.: no even a fly could be heard),no ser ni carne ni pescado
be neither one thing nor the other (lit.: not be fish or fowl),no tener abuela
be full of oneself; blow one’s own horn (lit.: not to have a grandmother),no tener arte ni parte
have nothing to do with something at all (lit.: not to have art or part),no tener pelos en la lengua
not mince words; be a straight shooter,no tiene caso
it is completely pointless; it is a waste of time,no ver el pelo a algn
not see hide or hair of someone,nunca se sabe
you never know; you never can tell,otra vez
again; once more,pagar a plazos
pay for something in installments,para colmo de desgracias
to top it all; to top it off (lit.: for the height of disgrace),para colmo de males
to make matters worse,para diario
everyday,parecer otro/-a
look great; look fantastic,partirse el alma
make someone’s heart bleed (lit.: my soul is separated from me),pasar a buscar
pick up; collect; get,pasar de la raya
cross the line (lit.: to pass over the line),pasar el mono a pelo
go cold turky,pasar por alto
pass over; overlook; ignore (lit.: to pass by high),pasarlo bomba
have a great time (lit.: to pass the bomb),pedir la luna
ask the impossible (lit.: to ask for the moon),pegar el ojo
fall asleep; sleep (lit.: to stick the eye),perder la cabeza
fall madly in love with someone,pez gordo
fat cat; big cheese; big cheese (lit.: fat fish),poner a salvo
save; rescue (lit.: to put to saving),poner el dedo en la llaga
hit a raw nerve (lit.: to put the finger in the ulcer),poner en camino
"get underway; be underway (lit.: to put onself on road, on route)",poner en cintura
reign in (lit.: to put a belt on),poner en marcha
start; begin; put into action,poner en su sitio a alguien
put someone in his/her place (lit.: to place someone in her/his site),poner la mesa
set the table,poner mala cara
pout; grimace; give a dirty luck,poner toda la carne en el asador
pull out all the stops,ponerse a dieta
go on a diet,ponerse como una hiena
get pissed; be furious; hit the roof,ponerse de acuerdo
agree; come to an agreement,ponerse de novio
have a relationship; be serious with somebody,ponerse de pie
stand up (lit.: to put oneself on foot),ponerse en contra
be against; protest; stand against,ponerse las pilas
force oneself; push oneself (lit.: put batteries in oneself),ponerse pedo
get drunk; get sloshed; get pissed; get high,por (el) amor de Dios
for the love of God (n.b.: exclamation similar to the one in English in usage),por adelantado
"early, beforehand (lit.: by earliness)",por casualidad
"by coincidence, by any chance (lit.: by coincidence)",por cierto
by the way; incidentally,por debajo de agua
under the table,por el contrario
on the contrary (lit.: by its sight),por el momento
for now (lit.: by the moment),por el otro lado
