Idioms,Meanings
Lose your short,to lose all of or most of your money
Miss the boat,to be too late; lose the opportunity; fail to take action
Money talks,money has influence and power
Mumbo jumbo,nonsense or meaningless speech or writing
Nest egg,savings set aside for future use
Off the hook,freed from a blame or obligation; having avoided a difficult situation
On the ball,to understand the situation well
Once in a blue moon,something that happens very rarely
Once in a while,"sometimes, not very often"
Out of the blue,something that suddenly and unexpectedly occurs
Over my dead body,when you absolutely will not accept or allow something to happen
Over the top,very excessive; outrageously overdone
Poker face,a face with no expression
Pull the plug,to stop something; to bring something to an end
Pulling your leg,tricking someone as a joke
Rule of thumb,"a useful principle, basic rule that is usually but not always correct"
Run out of steam,to be completely out of energy
Saved by the bell,rescued from a danger at the last possible moment
Scapegoat,someone else who takes the blame
See eye to eye,be in agreement
Sit on the fence,undecided about an issue; not able to make a decision
Sleep on it,wait until the next day before making an important decision
Speak of the devil!,reference to a person who appears unexpectedly while being talked about
Start from scratch,to do it all over again from the beginning
Take it easy,good-bye; calm down; relax
Take with a pinch of salt,do not completely believe it
The ball is in your court,your turn to speak or act next
The best of both worlds,get the benefits and advantages of two different things
The last straw,the last little burden or problem that causes everything to collapse
The whole nine yards,"everything, all of it"
Time out,stop; take a break; calm down
Turn a blind eye,to ignore something you know is real and pretend you do not see it
Twenty-four/seven,all the time; continuous operation
Up to the minute,the most recent
When pigs fly,something that will never ever happen
You bet!,"sure, yes, of course"
Zero Tolerance,no crime or law breaking to be overlooked
A short fuse,A quick temper
Actions speak louder than words,People's intentions can be judged better by what they do than what they say.
Barking up the wrong tree,Looking in the wrong place. Accusing the wrong person
Be glad to see the back of,Be happy when a person leaves.
Best thing since sliced bread,A good invention or innovation. A good idea or plan.
Bite off more than you can chew,To take on a task that is way to big.
Burn the midnight oil,"To work late into the night, alluding to the time before electric lighting."
Butterflies in my stomach,To be nervous
Can't judge a book by its cover,Cannot judge something primarily on appearance.
Cat got your tongue?,Can’t you speak? (Usually said to embarrass the other person)
Cross that bridge when you come to it,"Deal with a problem if and when it becomes necessary, not before."
Cry over spilt milk,When you complain about a loss from the past.
Curiosity killed the cat,Being Inquisitive can lead you into an unpleasant situation.
Cut the mustard,To succeed; to come up to expectations; adequate enough to compete or participate
Don't count your chickens before the eggs have hatched,"This idiom is used to express ""Don't make plans for something that might not happen""."
Don't give up the day job,You are not very good at something. You could definitely not do it professionally.
Don't put all your eggs in one basket,Do not put all your resources in one possibility.
Down for the count,Tired; giving up; unable or unwilling to participate any longer.
Drastic times call for drastic measures,When you are extremely desperate you need to take drastic actions.
Easier said than done,Not as easy as it appears to be.
Elvis has left the building,The show has come to an end. It's all over.
Every cloud has a silver lining,"Be optimistic, even difficult times will lead to better days."
Far cry from,Very different from.
Finding a needle in a haystack,Virtually impossible to find
Give it a whirl,To try something
Give the benefit of the doubt,"Believe someone's statement, without proof."
Hit the sack / sheets / hay,To go to bed.
In the fast lane,A life filled with excitement
In the heat of the moment,Overwhelmed by what is happening in the moment.
In the nick of time,Almost too late
It takes two to tango,Actions or communications need more than one person
Jump on the bandwagon,Join a popular trend or activity.
Keep something at bay,Keep something away.
Make a long story short,Come to the point - leave out details
Method to my madness,"An assertion that, despite one's approach seeming random, there actually is structure to it."
Not a spark of decency,Meaning: No manners
Not playing with a full deck,Someone who lacks intelligence.
Off one's rocker,"Crazy, demented, out of one's mind, in a confused or befuddled state of mind, senile."
Picture paints a thousand words,A visual presentation is far more descriptive than words.
Plain as day,Obvious; clear
Play second fiddle,To be less important
Put wool over other people's eyes,This means to deceive someone into thinking well of them.
Snug as a bug in a rug,Warm and cozy; content
Steal someone's thunder,To take the credit for something someone else did.
Stick your nose into something,To interfere
Taste of your own medicine,"Means that something happens to you, or is done to you, that you have done to someone else"
Tip of the iceberg,The small easily visible part of a larger problem
Up a creek without a paddle,In an unlucky/bad situation
Wouldn't be caught dead,Would never like to do something
Your guess is as good as mine,"To have no idea, do not know the answer to a question"
a big spender,"someone who spend money in great quantities, in a very showy way, on entertainment or leisure pursuits"
a shot in the dark,a wild guess; an attempt to do something when there is little chance of success
an ace up your sleeve,secret knowledge or a secret skill that will give you an advantage
ballpark figure,an estimate
bean counter,an accountant
behind the times,old-fashioned
bet your bottom dollar,absolutely sure about something or someone
bite your tongue,to stop yourself from saying something that you would really like to say
bonehead,a stupid person
bored to death,extremely unhappy because something is not interesting or because you have nothing to do
