Idioms,Meanings
głos sumienia,the still small voice
błędne koło,a vicious circle
łatwizna; bułka z masłem,a piece of cake
kłębek nerwów,bag of nerves
stek kłamstw,a pack of lies
wrzód na tyłku,pain in the ass
wyrzut sumienia,a pang of conscience
kula u nogi,a millstone round sb's neck
inna para kaloszy,another pair of shoes
wzloty i upadki,ups and down
bratnia dusza,kindred spirit
pracuś,eager beaver
marzenie ściętej głowy,a pipe dream
naiwniak,easy meat
akt rozpaczy,counsel of despair
pobożne życzenia,wishful thinking
Co cię gryzie?,What's eating you?
Po moim trupie!,Over my dead body!
Idź do diabła!,Go and jump in the lake!
Odczep się!,Go and take a running jump!
"Bujać to my, ale nie nas.",Tell that to the Marines.
Gęba na kłódkę!,Zip your lip!
Kaktus mi tu wyrośnie.,I'm a Dutchman
Nie dziel skóry na niedźwiedziu.,Don't count your chickens before they're hatched .
Co ma piernik do wiatraka?,What has that to do with anything?
żyć ponad stan,to live beyond one's means
opływać we wszystko,to live like a fighting cock
żyć w dostatku,to be in Fortune's lap
mieć lepkie palce,to have light fingers
spać na pieniądzach,to be rolling in cash
dać komuś w łapę,to grease sb's palm
być łasym na pieniądze,to have an itching palm
cienko prząść,to feel the pinch
od pucybuta do milionera,from rags to riches
tonąć w długach,to be in the red
nie mieć grosza przy duszy,not to have a red cent
zbić fortunę,to make a pile
wiązać koniec z końcem,to make both ends meet
bajońskie sumy,very large amounts of money
zamknąć sie w sobie,to retire into oneself
pogodzić się z losem,to resign oneself to fate
dotkąć kogoś do żywego,to cut sb to the quick
cierpieć katusze,to be on the rack
pogodzić się z czymś,to make one's peace with sb
zrzucić ciężar z serca,to unload one's heart
zakochać się w kimś po uszy,to fall head over heels in love with sb
sparzyć się na czymś,to get one's fingers burnt
mieć kogoś/czegoś po dziurki w nosie,to be fed up with sb/sth
mieć pietra,to get cold feet
czuć się na siłach coś zrobić,to feel equal to doing sth
robić dobrą minę do złej gry,to make the best of a bad bargain
wyrzucić coś z siebie,to unburden oneself
upiec dwie pieczenie na jednym ogniu,to kill two birds with one stone
mieć ciastko i zjeść ciastko,you can't have your cake and eat it
pozjadać wszystkie rozumy,to have all the answers
coś idzie jak po maśle,sth goes on wheels
niezły pasztet,a fine kettle of fish
musztarda po obiedzie,"too little, too late"
bułka z masłem,a piece of cake
Nie płacz nad rozlanym mlekiem.,Don't cry over spilt milk.
kraina mlekiem i miodem płynąca,land of milk and honey
nawarzyć sobie piwa,to be in for it
obiecywać gruszki na wierzbie,to promise something impossible
narobić bigosu,to mess up
guzdrać się,to drag one's feet
nie ruszyć palcem,not to lift a finger
dotrzymywać komuś kroku,to keep pace with sb
odszczekać swoje słowa,to eat one's words
zwęszyć coś,to get wind of sth
mącić wodę,to muddy the waters
przyprzeć kogoś do muru,to drive sb to the wall
trafić w sedno,to touch the spot
zapomnieć języka w gębie,to lose one's tongue
mleć językiem,to wag one's tongue
siedzieć jak na szpilkach,to be on pins and needles
wybadać grunt,to see how the land lies
pasować jak ulał,to fit like a glove
grać na zwłokę,to play a waiting game
być w swoim żywiole,to be in one's element
bawić się na całego,to kick up one's heels
owijać w bawełnę,to beat around the bush
rzucać mięsem,to swear
wypaplać coś,to spill the beans
w mgnieniu oka,at the drop of a hat
nie kiwnąć palcem,not to lift a hand
zrzucić ciężar z serca,to unload one's heart
ocalić własną skórę,to save one's hide
wbić komuś coś do głowy,to ram sth into sb's head
postawić coś na głowie,to turn sth on its head
trzymać rękę na pulsie,to keep one's fingers crossed
mieć kogoś/czegoś po dziurki w nosie,to be fed up with sb/sth
gołym okiem,with the unaided eye
stawić czoło,to face the music
na pierwszy rzut oka,at first appearance
mieć mętlik w głowie,to be all abroad
czyjeś oczko w głowie,sb's pride and joy
nadstawiać karku,to risk one's neck
do góry nogami,upside down
rozpychać się łokciami,to push one's way
siedzieć w czymś po uszy,to be up to the chin in sth
